0,"{0: 1, 1: 2, 2: 4, 3: 4, 4: 4, 5: 3, 6: 3, 7: 5, 8: 5, 9: 7, 10: 9, 11: 9, 12: 11, 13: 11, 14: 6, 15: 4, 16: 3, 17: 1, 18: 0, 19: 0, 20: 0}"
1,"{0: 1, 1: 2, 2: 3, 3: 4, 4: 4, 5: 8, 6: 6, 7: 4, 8: 3, 9: 3, 10: 1, 11: 1, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0}"
2,"{0: 1, 1: 2, 2: 2, 3: 4, 4: 4, 5: 5, 6: 5, 7: 7, 8: 11, 9: 14, 10: 19, 11: 22, 12: 25, 13: 23, 14: 26, 15: 17, 16: 14, 17: 7, 18: 2, 19: 0, 20: 0}"
3,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: 1, 14: 1, 15: 2, 16: 1, 17: 0, 18: 0, 19: 0, 20: 0}"
4,"{0: 1, 1: 2, 2: 3, 3: 4, 4: 5, 5: 4, 6: 5, 7: 7, 8: 8, 9: 9, 10: 11, 11: 12, 12: 12, 13: 11, 14: 8, 15: 5, 16: 2, 17: 0, 18: 0, 19: 0, 20: 0}"
5,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 2, 6: 2, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0}"
6,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 2, 9: 3, 10: 3, 11: 3, 12: 4, 13: 3, 14: 2, 15: 2, 16: 1, 17: 0, 18: 0, 19: 0, 20: 0}"
7,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 2, 9: 3, 10: 4, 11: 7, 12: 8, 13: 6, 14: 5, 15: 3, 16: 1, 17: 0, 18: 0, 19: 0, 20: 0}"
8,"{0: 1, 1: 2, 2: 3, 3: 2, 4: 2, 5: 3, 6: 3, 7: 3, 8: 3, 9: 3, 10: 3, 11: 3, 12: 4, 13: 4, 14: 3, 15: 3, 16: 2, 17: 0, 18: 0, 19: 0, 20: 0}"
9,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 3, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0}"
10,"{0: 1, 1: 2, 2: 4, 3: 6, 4: 8, 5: 11, 6: 17, 7: 21, 8: 21, 9: 24, 10: 27, 11: 23, 12: 14, 13: 9, 14: 7, 15: 5, 16: 2, 17: 1, 18: 0, 19: 0, 20: 0}"
11,"{0: 1, 1: 2, 2: 3, 3: 5, 4: 6, 5: 7, 6: 8, 7: 8, 8: 10, 9: 12, 10: 12, 11: 9, 12: 7, 13: 4, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0}"
12,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0}"
13,"{0: 1, 1: 2, 2: 3, 3: 4, 4: 4, 5: 7, 6: 7, 7: 4, 8: 3, 9: 1, 10: 2, 11: 2, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0}"
14,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 2, 5: 2, 6: 3, 7: 3, 8: 4, 9: 7, 10: 6, 11: 7, 12: 10, 13: 9, 14: 6, 15: 5, 16: 3, 17: 1, 18: 0, 19: 0, 20: 0}"
