0,"{4196552: 22, 2098276: 21, 1049138: 20, 262284: 18, 131142: 17, 16392: 14, 8196: 13, 4098: 12, 1024: 10, 512: 9, 256: 8, 128: 7, 64: 6, 32: 5, 16: 4, 8: 3, 4: 2, 767: 9, 6151: 12, 12305: 13, 196911: 17, 393825: 18, 787653: 19, 1575309: 20, 6301243: 22}"
1,"{392722: 18, 98180: 16, 49090: 15, 12272: 13, 6136: 12, 3068: 11, 1534: 10, 5: 2, 13: 3, 59: 5, 487: 8, 1955: 10, 7827: 12, 15657: 13, 31317: 14, 250551: 17, 501105: 18, 1002213: 19, 2004429: 20, 4008861: 21}"
2,"{662444: 19, 331222: 18, 41402: 15, 10350: 13, 646: 9, 80: 6, 40: 5, 41: 5, 687: 9, 5511: 12, 22051: 14, 44105: 15, 352855: 18, 2822855: 21, 5645713: 22}"
3,"{2101314: 21, 525328: 19, 262664: 18, 131332: 17, 65666: 16, 16416: 14, 8208: 13, 4104: 12, 2052: 11, 1026: 10, 256: 8, 128: 7, 64: 6, 32: 5, 16: 4, 8: 3, 159: 7, 2575: 11, 5153: 12, 10309: 13, 82487: 16, 329955: 18, 2639655: 21}"
4,"{2783564: 21, 1391782: 20, 173972: 17, 86986: 16, 21746: 14, 5436: 12, 2718: 11, 84: 6, 42: 5, 10: 3, 5: 2, 13: 3, 59: 5, 1951: 10, 3905: 11, 7813: 12, 15629: 13, 31261: 14, 62525: 15, 250107: 17, 1000435: 19, 2000873: 20, 4001749: 21}"
5,"{2097154: 21, 524288: 19, 262144: 18, 131072: 17, 65536: 16, 32768: 15, 16384: 14, 8192: 13, 4096: 12, 2048: 11, 1024: 10, 512: 9, 513: 9, 1029: 10, 16495: 14, 131975: 17, 263953: 18, 527909: 19, 4223287: 22}"
6,"{1048730: 20, 262182: 18, 32772: 15, 16386: 14, 4096: 12, 2048: 11, 1024: 10, 512: 9, 256: 8, 128: 7, 64: 6, 32: 5, 16: 4, 8: 3, 4: 2, 5: 2, 55: 5, 113: 6, 229: 7, 461: 8, 925: 9, 59327: 15, 237315: 17, 474633: 18, 949269: 19, 1898541: 20, 3797085: 21}"
7,"{4036394: 21, 1009098: 19, 252274: 17, 63068: 15, 31534: 14, 1970: 10, 3943: 11, 252479: 17, 504961: 18, 1009925: 19, 2019853: 20, 4039709: 21}"
8,"{2940396: 21, 1470198: 20, 183774: 17, 5742: 12, 358: 8, 44: 5, 22: 4, 5: 2, 223: 7, 28799: 14, 921631: 19, 1843265: 20, 3686533: 21, 7373069: 22}"
9,"{5768782: 22, 360548: 18, 180274: 17, 45068: 15, 22534: 14, 2816: 11, 1408: 10, 704: 9, 352: 8, 176: 7, 88: 6, 44: 5, 22: 4, 11: 3, 25: 4, 53: 5, 439: 8, 881: 9, 1765: 10, 14135: 13, 28273: 14, 113099: 16, 226201: 17, 452405: 18, 1809627: 20}"
10,"{4333732: 22, 2166866: 21, 541716: 19, 270858: 18, 67714: 16, 16928: 14, 8464: 13, 4232: 12, 2116: 11, 1058: 10, 264: 8, 132: 7, 66: 6, 16: 4, 8: 3, 4: 2, 11: 3, 51: 5, 211: 7, 3407: 11, 6817: 12, 27275: 14, 109107: 16, 218217: 17, 1745751: 20, 6983011: 22}"
11,"{2098832: 21, 1049416: 20, 524708: 19, 262354: 18, 65588: 16, 32794: 15, 8198: 13, 1024: 10, 512: 9, 256: 8, 128: 7, 64: 6, 263: 8, 2119: 11, 4241: 12, 8485: 13, 16973: 14, 67899: 16, 135801: 17, 271605: 18, 543213: 19}"
12,"{6371892: 22, 3185946: 21, 796486: 19, 99560: 16, 49780: 15, 24890: 14, 6222: 12, 388: 8, 194: 7, 48: 5, 24: 4, 12: 3, 55: 5, 113: 6, 459: 8, 921: 9, 1845: 10, 7387: 12, 14777: 13, 29557: 14, 945887: 19}"
