0,"{'526': 7, '527': 7, '5463': 11, '51859': 13, '11126': 11, '11127': 11, '22526': 12, '22527': 12, '181527': 15}"
1,"{'173624': 15, '173625': 15, '173653': 16, '1736439': 19, '1736881': 20, '86824': 14, '86825': 14, '86853': 15, '868439': 18, '43424': 13, '43425': 13, '43453': 14, '10824': 11, '10825': 11, '10853': 12, '5424': 10, '5425': 10, '5453': 11, '54439': 14, '54881': 15, '1324': 8, '1325': 8, '1353': 9, '13439': 12, '13881': 13, '131765': 14}"
2,"{'2012004': 18, '2011002': 17, '201250': 15, '201251': 15, '2011011': 17, '2012025': 18}"
3,"{'79240': 15, '79220': 14, '79210': 13, '79211': 13, '79251': 15, '792105': 16, '396160': 16, '39640': 14, '39620': 13, '39610': 12, '39611': 12, '39651': 14, '396105': 15, '198160': 15, '19880': 14, '19840': 13, '19820': 12, '19810': 11, '19811': 11, '19851': 13, '198105': 14, '198213': 15, '241286': 15, '24160': 12, '2480': 11, '2440': 10, '2420': 9, '2410': 8, '2411': 8, '2451': 10, '24105': 11, '24213': 12, '24859': 14, '2580': 11, '2540': 10, '2520': 9, '2510': 8, '2511': 8, '2551': 10, '25105': 11, '25213': 12, '25859': 14, '21520': 12, '21510': 11, '21511': 11, '21551': 13, '215105': 14, '215213': 15, '43320': 13, '43310': 12, '43311': 12, '43351': 14, '433213': 16}"
4,"{'51938': 13, '5484': 11, '5242': 10, '560': 8, '561': 8, '5125': 9, '5253': 10, '5509': 11, '51021': 12, '52045': 13, '5560': 11, '5561': 11, '55125': 12, '55253': 13, '55509': 14, '551021': 15, '552045': 16, '11360': 12, '11361': 12, '113125': 13, '919242': 17, '91961': 15, '919125': 16, '9192045': 20}"
5,"{'32010': 12, '16010': 11, '801362': 17, '80340': 15, '80170': 14, '8042': 12, '8010': 10, '401362': 16, '40340': 14, '40170': 13, '4042': 11, '4010': 9, '201362': 15, '20340': 13, '20170': 12, '2042': 10, '2010': 8, '205': 7, '101362': 14, '10340': 12, '10170': 11, '1042': 9, '1010': 7, '105': 6, '111362': 14, '11340': 12, '11170': 11, '1142': 9, '1110': 7, '115': 6, '1113': 7, '1129': 8, '1161': 9, '11503': 12, '111009': 13, '112021': 14, '251362': 15, '25340': 13, '25170': 12, '2542': 10, '2510': 8, '255': 7, '2513': 8, '2529': 9, '2561': 10, '25503': 13, '251009': 14, '1071362': 17, '107340': 15, '107170': 14, '10742': 12, '10710': 10, '1075': 9, '10713': 10, '10729': 11, '10761': 12, '107503': 15, '1071009': 16, '43542': 14, '43510': 12, '4355': 11, '43513': 12, '43529': 13, '43561': 14}"
6,"{'5990': 12, '5495': 11, '51987': 13, '13990': 13, '13495': 12, '131987': 14, '29990': 14, '29495': 13, '291987': 15, '61990': 15, '61495': 14}"
7,"{'400408': 17, '400102': 15, '40012': 12, '40027': 13, '40057': 14, '400117': 15, '200102': 14, '20012': 11, '20027': 12, '20057': 13, '100204': 14, '100102': 13, '10012': 10, '10027': 11, '10057': 12, '100117': 13, '100475': 15, '501634': 16, '50408': 14, '50204': 13, '50102': 12, '5012': 9, '5027': 10, '5057': 11, '50117': 12, '50475': 14, '501907': 16, '121634': 14, '12408': 12, '12204': 11, '12102': 10, '1212': 7, '1227': 8, '1257': 9, '12117': 10, '12475': 12, '121907': 14, '131634': 14, '13408': 12, '13204': 11, '13102': 10, '1312': 7, '1327': 8, '1357': 9, '13117': 10, '13475': 12, '131907': 14, '29102': 11, '2912': 8, '2927': 9, '2957': 10, '29117': 11, '6112': 9, '6127': 10, '6157': 11, '61117': 12, '50327': 13, '50357': 14, '503117': 15, '100927': 14, '100957': 15, '1009117': 16}"
8,"{'224195': 15, '224789': 17, '2241581': 18, '112195': 14, '112393': 15, '112789': 16, '1121581': 17, '56195': 13, '56393': 14, '56789': 15, '561581': 16, '57195': 13, '57393': 14, '57789': 15}"
9,"{'203013': 14, '203113': 14}"
