0,{}
1,"{'3988': 12, '3984': 11, '3985': 11, '39829': 13, '248': 8, '244': 7, '245': 7, '2413': 8, '2429': 9, '2461': 10, '12142': 11, '128': 7, '124': 6, '125': 6, '1213': 7, '1229': 8, '12125': 10, '12507': 12, '1114': 9, '1115': 9, '11113': 10, '11129': 11}"
2,"{'460': 8, '461': 8, '4125': 9, '4507': 11, '560': 8, '561': 8, '5125': 9, '5507': 11, '1360': 9, '1361': 9, '13125': 10, '47960': 14}"
3,"{'4370': 11, '446': 8, '4383': 11, '4769': 12, '546': 8, '5383': 11, '5592': 12, '11346': 12}"
4,"{'5544': 12, '1384': 10, '344': 8, '174': 7, '6174': 12}"
5,"{'11024': 13, '11025': 13, '684': 9, '685': 9, '344': 8, '345': 8, '818': 8, '84': 6, '85': 6, '4146': 10, '436': 8, '418': 7, '44': 5, '45': 5, '413': 6, '429': 7, '461': 8, '4125': 9, '4253': 10, '11146': 11, '1136': 9, '1118': 8, '114': 6, '115': 6, '1113': 7, '1129': 8, '1161': 9, '11125': 10, '5118': 10, '514': 8, '5113': 9, '51125': 12, '105146': 14, '10536': 12, '1054': 9, '10513': 10, '105253': 14, '42736': 14, '4274': 11, '8574': 12}"
6,"{'95013': 13, '1185': 9, '11813': 10, '11859': 12, '11913': 10}"
7,{}
8,"{'10672': 13, '10336': 12, '10168': 11, '1084': 10, '1042': 9, '1010': 7, '105': 6, '1055': 9, '10113': 10, '5168': 10, '584': 9, '542': 8, '510': 6, '55': 5, '555': 8, '5113': 9, '5229': 10, '5461': 11, '5925': 12, '5510': 9, '5555': 11, '45510': 12, '45555': 14}"
9,"{'10122': 10, '10123': 10, '10249': 11, '23980': 14, '23490': 13, '23122': 11, '23249': 12, '99980': 16, '99122': 13, '99123': 13}"
10,{}
11,"{'22628': 12, '5656': 11, '5628': 10, '56119': 12, '2856': 10, '2828': 9, '28119': 11, '23956': 13, '23928': 12, '48156': 14, '48128': 13, '96556': 15, '96528': 14}"
12,"{'57248': 15, '57212': 13, '28648': 14, '896': 10, '848': 9, '824': 8, '812': 7, '496': 9, '448': 8, '424': 7, '412': 6, '413': 6, '596': 9, '548': 8, '524': 7, '512': 6, '513': 6, '2796': 11, '2748': 10, '2712': 8, '2713': 8, '27119': 11, '27241': 12, '5796': 12, '5748': 11, '5724': 10, '5713': 9, '57119': 12, '94313': 13}"
13,"{'6608': 13, '6605': 12, '33016': 13, '3308': 12, '3305': 11, '8216': 11, '828': 10, '825': 9, '208': 8, '204': 7, '205': 7, '2027': 9, '10542': 13, '1016': 8, '108': 7, '104': 6, '105': 6, '1027': 8, '118': 7, '114': 6, '115': 6, '1127': 8, '518': 9, '514': 8, '5127': 10, '1058': 10, '1054': 9, '10527': 11, '2138': 11, '2134': 10, '4298': 12, '4294': 11, '42927': 13, '86116': 14}"
14,"{'2628': 9, '2629': 9, '1328': 8, '1329': 8, '11928': 11, '11929': 11, '24128': 12, '24129': 12, '97129': 14}"
