0,"{'4601114': 19, '460278': 17, '46034': 14, '4608': 12, '4604': 11, '46023': 13, '46049': 14, '460101': 15, '460205': 16, '460827': 18, '2301114': 18, '230278': 16, '23034': 13, '2308': 11, '2304': 10, '23023': 12, '23049': 13, '230101': 14, '230205': 15, '230827': 17, '281114': 15, '28278': 13, '2834': 10, '288': 8, '284': 7, '2823': 9, '2849': 10, '28101': 11, '28205': 12, '28827': 14, '291114': 15, '29278': 13, '2934': 10, '298': 8, '294': 7, '2923': 9, '2949': 10, '29101': 11, '29205': 12, '29827': 14, '1231114': 17, '123278': 15, '12334': 12, '1238': 10, '1234': 9, '12323': 11, '12349': 12, '123101': 13, '123205': 14, '123827': 16}"
1,"{'8281184': 20, '828592': 19, '828296': 18, '828148': 17, '82874': 16, '82818': 14, '82819': 14, '82883': 16, '828679': 19, '4141184': 19, '414592': 18, '414296': 17, '414148': 16, '41474': 15, '41418': 13, '41419': 13, '41483': 15, '414679': 18, '121184': 14, '12592': 13, '12296': 12, '12148': 11, '1274': 10, '1218': 8, '1219': 8, '1283': 10, '12679': 13, '131184': 14, '13592': 13, '13296': 12, '13148': 11, '1374': 10, '1318': 8, '1319': 8, '1383': 10, '13679': 13, '2391184': 18, '239592': 17, '239296': 16, '239148': 15, '23974': 14, '23918': 12, '23919': 12, '23983': 14, '239679': 17, '4811184': 19, '481592': 18, '481296': 17, '481148': 16, '48174': 15, '48118': 13, '48119': 13, '48183': 15, '481679': 18, '19311184': 21, '1931592': 20, '1931296': 19, '1931148': 18, '193174': 17, '193118': 15, '193119': 15, '193183': 17, '1931679': 20}"
2,"{'96082': 16, '96020': 14, '96010': 13, '9605': 12, '960111': 16, '960225': 17, '960453': 18, '960909': 19, '9601821': 20, '48082': 15, '48020': 13, '48010': 12, '4805': 11, '480111': 15, '480225': 16, '480453': 17, '480909': 18, '4801821': 19, '24082': 14, '24020': 12, '24010': 11, '2405': 10, '240111': 14, '240225': 15, '240453': 16, '240909': 17, '2401821': 18, '12082': 13, '12020': 11, '12010': 10, '1205': 9, '120111': 13, '120225': 14, '120453': 15, '120909': 16, '1201821': 17, '6082': 12, '6020': 10, '6010': 9, '605': 8, '60111': 12, '60225': 13, '60453': 14, '60909': 15, '601821': 16, '12382': 13, '12320': 11, '12310': 10, '1235': 9, '123111': 13, '123225': 14, '123453': 15, '123909': 16, '1231821': 17, '199982': 17, '199920': 15, '199910': 14, '19995': 13, '1999111': 17, '1999225': 18, '1999453': 19, '1999909': 20, '19991821': 21}"
3,"{'1188378': 19, '118894': 17, '118823': 15, '118849': 16, '1188203': 18, '11881639': 21, '594378': 18, '59494': 16, '59423': 14, '59449': 15, '594203': 17, '5941639': 20, '148378': 16, '14894': 14, '14823': 12, '14849': 13, '148203': 15, '1481639': 18, '74378': 15, '7494': 13, '7423': 11, '7449': 12, '74203': 14, '741639': 17, '18378': 13, '1894': 11, '1823': 9, '1849': 10, '18203': 12, '181639': 15, '9378': 12, '994': 10, '923': 8, '949': 9, '9203': 11, '91639': 14, '43378': 14, '4394': 12, '4323': 10, '4349': 11, '43203': 13, '431639': 16, '179378': 16, '17994': 14, '17923': 12, '17949': 13, '179203': 15, '1791639': 18}"
4,{}
5,"{'5181080': 20, '518540': 19, '518270': 18, '51816': 14, '5188': 13, '5184': 12, '5185': 12, '51855': 15, '518227': 17, '5181831': 20, '641080': 17, '64540': 16, '64270': 15, '6416': 11, '648': 10, '644': 9, '645': 9, '6455': 12, '64227': 14, '641831': 17, '321080': 16, '32540': 15, '32270': 14, '3216': 10, '328': 9, '324': 8, '325': 8, '3255': 11, '32227': 13, '321831': 16, '161080': 15, '16540': 14, '16270': 13, '1616': 9, '168': 8, '164': 7, '165': 7, '1655': 10, '16227': 12, '161831': 15, '81080': 14, '8540': 13, '8270': 12, '816': 8, '88': 7, '84': 6, '85': 6, '855': 9, '8227': 11, '81831': 14, '3191080': 19, '319540': 18, '319270': 17, '31916': 13, '3198': 12, '3194': 11, '3195': 11, '31955': 14, '319227': 16, '3191831': 19, '6411080': 20, '641540': 19, '641270': 18, '64116': 14, '6418': 13, '6414': 12, '6415': 12, '64155': 15, '641227': 17, '6411831': 20, '12851080': 21, '1285540': 20, '1285270': 19, '128516': 15, '12858': 14, '12854': 13, '12855': 13, '128555': 16, '1285227': 18, '12851831': 21}"
6,"{'1302148': 18, '130274': 17, '130218': 15, '13024': 13, '13025': 13, '130213': 14, '1302119': 17, '1302241': 18, '1302485': 19, '13021947': 21, '162148': 15, '16274': 14, '16218': 12, '1624': 10, '1625': 10, '16213': 11, '162119': 14, '162241': 15, '162485': 16, '1621947': 18, '40148': 13, '4074': 12, '4018': 10, '404': 8, '405': 8, '4013': 9, '40119': 12, '40241': 13, '40485': 14, '401947': 16, '167148': 15, '16774': 14, '16718': 12, '1674': 10, '1675': 10, '16713': 11, '167119': 14, '167241': 15, '167485': 16, '1671947': 18, '337148': 16, '33774': 15, '33718': 13, '3374': 11, '3375': 11, '33713': 12, '337119': 15, '337241': 16, '337485': 17, '3371947': 19, '677148': 17, '67774': 16, '67718': 14, '6774': 12, '6775': 12, '67713': 13, '677119': 16, '677241': 17, '677485': 18, '6771947': 20, '1357148': 18, '135774': 17, '135718': 15, '13574': 13, '13575': 13, '135713': 14, '1357119': 17, '1357241': 18, '1357485': 19, '13571947': 21}"
7,"{'430232': 16, '430116': 15, '43058': 14, '43059': 14, '430243': 16, '430979': 18, '4301961': 19, '26232': 12, '26116': 11, '2658': 10, '2659': 10, '26243': 12, '26979': 14, '261961': 15, '13232': 11, '13116': 10, '1358': 9, '1359': 9, '13243': 11, '13979': 13, '131961': 14, '29232': 12, '29116': 11, '2958': 10, '2959': 10, '29243': 12, '29979': 14, '291961': 15, '123232': 14, '123116': 13, '12358': 12, '12359': 12, '123243': 14, '123979': 16, '1231961': 17, '499232': 16, '499116': 15, '49958': 14, '49959': 14, '499243': 16, '499979': 18, '4991961': 19, '1001232': 17, '1001116': 16, '100158': 15, '100159': 15, '1001243': 17, '1001979': 19, '10011961': 20}"
8,"{'102682': 17, '102620': 15, '102621': 15, '1026367': 19, '1026737': 20, '25682': 15, '25620': 13, '25621': 13, '256367': 17, '256737': 18, '12882': 14, '12820': 12, '12821': 12, '128367': 16, '128737': 17, '6482': 13, '6420': 11, '6421': 11, '64367': 15, '64737': 16, '3282': 12, '3220': 10, '3221': 10, '32367': 14, '32737': 15, '1682': 11, '1620': 9, '1621': 9, '16367': 13, '16737': 14, '882': 10, '820': 8, '821': 8, '8367': 12, '8737': 13, '982': 10, '920': 8, '921': 8, '9367': 12, '9737': 13, '2182': 11, '2120': 9, '2121': 9, '21367': 13, '21737': 14, '73582': 16, '73520': 14, '73521': 14, '735367': 18, '735737': 19}"
9,"{'496672': 18, '496336': 17, '496168': 16, '49684': 15, '49642': 14, '49610': 12, '49623': 13, '49649': 14, '496101': 15, '496205': 16, '496413': 17, '4961659': 19, '248672': 17, '248336': 16, '248168': 15, '24884': 14, '24842': 13, '24810': 11, '24823': 12, '24849': 13, '248101': 14, '248205': 15, '248413': 16, '2481659': 18, '124672': 16, '124336': 15, '124168': 14, '12484': 13, '12442': 12, '12410': 10, '12423': 11, '12449': 12, '124101': 13, '124205': 14, '124413': 15, '1241659': 17, '503672': 18, '503336': 17, '503168': 16, '50384': 15, '50342': 14, '50310': 12, '50323': 13, '50349': 14, '503101': 15, '503205': 16, '503413': 17, '5031659': 19, '2019672': 20, '2019336': 19, '2019168': 18, '201984': 17, '201942': 16, '201910': 14, '201923': 15, '201949': 16, '2019101': 17, '2019205': 18, '2019413': 19, '20191659': 21}"
