0,"{'36561654': 22, '3656206': 19, '3656103': 18, '36561679': 22, '18281654': 21, '1828206': 18, '1828103': 17, '18281679': 21, '9141654': 20, '914206': 17, '914103': 16, '9141679': 20, '2281654': 18, '228206': 15, '228103': 14, '2281679': 18, '1141654': 17, '114206': 14, '114103': 13, '1141679': 17, '1151654': 17, '115206': 14, '115103': 13, '1151679': 17, '2331654': 18, '233206': 15, '233103': 14, '2331679': 18, '4691654': 19, '469206': 16, '469103': 15, '4691679': 19, '1883206': 18, '1883103': 17, '18831679': 21, '37691654': 22, '3769206': 19, '3769103': 18, '37691679': 22}"
1,"{'33485': 14, '3348223': 19, '33481799': 22, '16745': 13, '1674223': 18, '16741799': 21, '4185': 11, '418223': 16, '4181799': 19, '4183601': 20, '1045': 9, '104223': 14, '1041799': 17, '1043601': 18, '525': 8, '52223': 13, '521799': 16, '523601': 17, '265': 7, '26223': 12, '261799': 15, '263601': 16, '135': 6, '13223': 11, '131799': 14, '133601': 15, '1195': 9, '119223': 14, '1191799': 17, '1193601': 18, '19355': 13, '1935223': 18, '19351799': 21, '38735': 14, '3873223': 19, '38731799': 22}"
2,"{'16225': 13, '162213': 14, '1622239': 18, '1622963': 20, '2025': 10, '20213': 11, '202239': 15, '202963': 17, '505': 8, '5013': 9, '50239': 13, '50963': 15, '125': 6, '1213': 7, '12239': 11, '12963': 13, '135': 6, '1313': 7, '13239': 11, '13963': 13, '1195': 9, '11913': 10, '119239': 14, '119963': 16, '2415': 10, '24113': 11, '241239': 15, '241963': 17, '4855': 11, '48513': 12, '485239': 16, '485963': 18, '38955': 14, '389513': 15, '3895239': 19, '3895963': 21}"
3,"{'20582060': 23, '20581030': 22, '2058128': 19, '205864': 18, '205832': 17, '205816': 16, '205817': 16, '205837': 17, '205877': 18, '2058315': 20, '2058633': 21, '5142060': 21, '5141030': 20, '514128': 17, '51464': 16, '51432': 15, '51416': 14, '51417': 14, '51437': 15, '51477': 16, '514315': 18, '514633': 19, '5142539': 21, '1282060': 19, '1281030': 18, '128128': 15, '12864': 14, '12832': 13, '12816': 12, '12817': 12, '12837': 13, '12877': 14, '128315': 16, '128633': 17, '1282539': 19, '642060': 18, '641030': 17, '64128': 14, '6464': 13, '6432': 12, '6416': 11, '6417': 11, '6437': 12, '6477': 13, '64315': 15, '64633': 16, '642539': 18, '322060': 17, '321030': 16, '32128': 13, '3264': 12, '3232': 11, '3216': 10, '3217': 10, '3237': 11, '3277': 12, '32315': 14, '32633': 15, '322539': 17, '162060': 16, '161030': 15, '16128': 12, '1664': 11, '1632': 10, '1616': 9, '1617': 9, '1637': 10, '1677': 11, '16315': 13, '16633': 14, '162539': 16, '82060': 15, '81030': 14, '8128': 11, '864': 10, '832': 9, '816': 8, '817': 8, '837': 9, '877': 10, '8315': 12, '8633': 13, '82539': 15, '42060': 14, '41030': 13, '4128': 10, '464': 9, '432': 8, '416': 7, '417': 7, '437': 8, '477': 9, '4315': 11, '4633': 12, '42539': 14}"
4,{}
5,"{'40125': 14, '401227': 16, '4012115': 18, '4012233': 19, '4012469': 20, '40123767': 23, '20065': 13, '200627': 15, '2006115': 17, '2006233': 18, '2006469': 19, '2505': 10, '25027': 12, '250115': 14, '250233': 15, '250469': 16, '2503767': 19, '5035': 11, '50327': 13, '503115': 15, '503233': 16, '503469': 17, '5033767': 20, '20195': 13, '201927': 15, '2019115': 17, '2019233': 18, '2019469': 19}"
6,"{'28301338': 22, '2830334': 20, '283020': 16, '283010': 15, '1762676': 19, '1761338': 18, '176334': 16, '17620': 12, '17610': 11, '882676': 18, '881338': 17, '88334': 15, '8820': 11, '8810': 10, '442676': 17, '441338': 16, '44334': 14, '4420': 10, '4410': 9, '222676': 16, '221338': 15, '22334': 13, '2220': 9, '2210': 8, '1123': 8, '1199': 10, '11201': 11, '11405': 12, '11813': 13, '113259': 15, '5123': 10, '5199': 12, '51201': 13, '51405': 14, '51813': 15, '513259': 17, '10523': 11, '10599': 13, '105201': 14, '105405': 15, '105813': 16, '1053259': 18, '21323': 12, '21399': 14, '213201': 15, '213405': 16, '213813': 17, '2133259': 19, '42923': 13, '42999': 15, '429201': 16, '429405': 17, '429813': 18, '4293259': 20, '86123': 14, '86199': 16, '861201': 17, '861405': 18, '861813': 19, '8613259': 21, '172523': 15, '172599': 17, '1725201': 18, '1725405': 19, '1725813': 20}"
7,{}
8,"{'24942608': 23, '24941304': 22, '2494652': 21, '2494326': 20, '249440': 17, '249420': 16, '249410': 15, '382608': 17, '381304': 16, '38652': 15, '38326': 14, '3840': 11, '3820': 10, '3810': 9, '42608': 14, '41304': 13, '4652': 12, '4326': 11, '440': 8, '420': 7, '410': 6, '2347': 10, '2397': 11, '23395': 13, '23793': 14, '231589': 15, '9947': 12, '9997': 13, '99395': 15, '99793': 16, '991589': 17, '80747': 15, '80797': 16, '807395': 18, '807793': 19, '8071589': 20}"
9,"{'53912': 14, '51956': 13, '5978': 12, '5244': 10, '5122': 9, '5123': 9, '5499': 11, '51001': 12, '553912': 17, '551956': 16, '55978': 15, '55244': 13, '55122': 12, '55123': 12, '55499': 14, '551001': 15, '2273912': 19, '2271956': 18, '227978': 17, '227244': 15, '227122': 14, '227123': 14, '227499': 16, '2271001': 17, '4573912': 20, '4571956': 19, '457978': 18, '457244': 16, '457122': 15, '457123': 15, '457499': 17, '4571001': 18, '9173912': 21, '9171956': 20, '917978': 19, '917244': 17, '917122': 16, '917123': 16, '917499': 18, '9171001': 19, '18371956': 21, '1837978': 20, '1837244': 18, '1837122': 17, '1837123': 17, '1837499': 19, '18371001': 20, '36771956': 22, '3677978': 21, '3677244': 19, '3677122': 18, '3677123': 18, '3677499': 20, '36771001': 21}"
