0,"{'40543700': 23, '40541850': 22, '4054462': 20, '4054115': 18, '4054467': 20, '5063700': 20, '5061850': 19, '506462': 17, '506115': 15, '506467': 17, '2533700': 19, '2531850': 18, '253462': 16, '253115': 14, '253467': 16, '10191850': 20, '1019462': 18, '1019115': 16, '1019467': 18}"
1,"{'28522944': 23, '2852368': 20, '2852184': 19, '285292': 18, '285246': 17, '28525': 14, '285227': 16, '2852463': 20, '28521861': 22, '1426736': 20, '1426368': 19, '1426184': 18, '142692': 17, '142646': 16, '14265': 13, '142627': 15, '1426463': 19, '1426929': 20, '3562944': 20, '3561472': 19, '356736': 18, '356368': 17, '356184': 16, '35692': 15, '35646': 14, '3565': 11, '35627': 13, '356463': 17, '356929': 18, '3561861': 19, '1782944': 19, '1781472': 18, '178736': 17, '178368': 16, '178184': 15, '17892': 14, '17846': 13, '1785': 10, '17827': 12, '178463': 16, '178929': 17, '1781861': 18, '442944': 17, '441472': 16, '44736': 15, '44368': 14, '44184': 13, '4492': 12, '4446': 11, '445': 8, '4427': 10, '44463': 14, '44929': 15, '441861': 16, '222944': 16, '221472': 15, '22736': 14, '22368': 13, '22184': 12, '2292': 11, '2246': 10, '225': 7, '2227': 9, '22463': 13, '22929': 14, '221861': 15, '1912944': 19, '1911472': 18, '191736': 17, '191368': 16, '191184': 15, '19192': 14, '19146': 13, '1915': 10, '19127': 12, '191463': 16, '191929': 17, '1911861': 18, '7712944': 21, '7711472': 20, '771736': 19, '771368': 18, '771184': 17, '77192': 16, '77146': 15, '7715': 12, '77127': 14, '771463': 18, '771929': 19, '7711861': 20}"
2,"{'395048': 17, '395024': 16, '395012': 15, '395013': 15, '246782': 17, '24648': 13, '24624': 12, '24612': 11, '24613': 11, '2463839': 19, '247782': 17, '24748': 13, '24724': 12, '24712': 11, '24713': 11, '2473839': 19, '497782': 18, '49748': 14, '49724': 13, '49712': 12, '49713': 12, '4973839': 20, '997782': 19, '99748': 15, '99724': 14, '99712': 13, '99713': 13}"
3,"{'208019': 16, '208041': 17, '208085': 18, '2080173': 19, '20801399': 22, '20802801': 23, '10401274': 21, '1040318': 19, '104019': 15, '104041': 16, '104085': 17, '1040173': 18, '10401399': 21, '5201274': 20, '520318': 18, '52019': 14, '52041': 15, '52085': 16, '520173': 17, '5201399': 20, '5202801': 21, '2602548': 20, '2601274': 19, '260318': 17, '26019': 13, '26041': 14, '26085': 15, '260173': 16, '2601399': 19, '2602801': 20, '1302548': 19, '1301274': 18, '130318': 16, '13019': 12, '13041': 13, '13085': 14, '130173': 15, '1301399': 18, '1302801': 19, '322548': 17, '321274': 16, '32318': 14, '3219': 10, '3241': 11, '3285': 12, '32173': 13, '321399': 16, '322801': 17, '162548': 16, '161274': 15, '16318': 13, '1619': 9, '1641': 10, '1685': 11, '16173': 12, '161399': 15, '162801': 16, '82548': 15, '81274': 14, '8318': 12, '819': 8, '841': 9, '885': 10, '8173': 11, '81399': 14, '82801': 15, '92548': 15, '91274': 14, '9318': 12, '919': 8, '941': 9, '985': 10, '9173': 11, '91399': 14, '92801': 15, '872548': 18, '871274': 17, '87318': 15, '8719': 11, '8741': 12, '8785': 13, '87173': 14, '871399': 17, '872801': 18, '7112548': 21, '7111274': 20, '711318': 18, '71119': 14, '71141': 15, '71185': 16, '711173': 17, '28511274': 22, '2851318': 20, '285119': 16, '285141': 17, '285185': 18, '2851173': 19, '28511399': 22}"
4,"{'26921100': 22, '2692550': 21, '269268': 18, '269234': 17, '26928': 15, '26929': 15, '269221': 16, '2692735': 21, '26922947': 23, '13461100': 21, '1346550': 20, '134668': 17, '134634': 16, '13468': 14, '13469': 14, '134621': 15, '1346735': 20, '13462947': 22, '3361100': 19, '336550': 18, '33668': 15, '33634': 14, '3368': 12, '3369': 12, '33621': 13, '336735': 18, '3362947': 20, '1681100': 18, '168550': 17, '16868': 14, '16834': 13, '1688': 11, '1689': 11, '16821': 12, '168735': 17, '1682947': 19, '841100': 17, '84550': 16, '8468': 13, '8434': 12, '848': 10, '849': 10, '8421': 11, '84735': 16, '842947': 18, '421100': 16, '42550': 15, '4268': 12, '4234': 11, '428': 9, '429': 9, '4221': 10, '42735': 15, '422947': 17, '101100': 14, '10550': 13, '1068': 10, '1034': 9, '108': 7, '109': 7, '1021': 8, '10735': 13, '102947': 15, '471100': 16, '47550': 15, '4768': 12, '4734': 11, '478': 9, '479': 9, '4721': 10, '47735': 15, '472947': 17, '7831100': 20, '783550': 19, '78368': 16, '78334': 15, '7838': 13, '7839': 13, '78321': 14, '783735': 19, '7832947': 21}"
5,"{'8321986': 20, '832496': 18, '832248': 17, '832124': 16, '832503': 18, '8322019': 20, '4163972': 20, '4161986': 19, '416496': 17, '416248': 16, '416124': 15, '416503': 17, '4162019': 19, '2083972': 19, '2081986': 18, '208496': 16, '208248': 15, '208124': 14, '208503': 16, '2082019': 18, '1043972': 18, '1041986': 17, '104496': 15, '104248': 14, '104124': 13, '104503': 15, '1042019': 17, '523972': 17, '521986': 16, '52496': 14, '52248': 13, '52124': 12, '52503': 14, '522019': 16, '263972': 16, '261986': 15, '26496': 13, '26248': 12, '26124': 11, '26503': 13, '262019': 15, '133972': 15, '131986': 14, '13496': 12, '13248': 11, '13124': 10, '13503': 12, '132019': 14, '1193972': 18, '1191986': 17, '119496': 15, '119248': 14, '119124': 13, '119503': 15, '1192019': 17, '2413972': 19, '2411986': 18, '241496': 16, '241248': 15, '241124': 14, '241503': 16, '2412019': 18, '9713972': 21, '9711986': 20, '971496': 18, '971248': 17, '971124': 16, '971503': 18, '9712019': 20, '19451986': 21, '1945496': 19, '1945248': 18, '1945124': 17, '1945503': 19, '19452019': 21}"
6,"{'3574862': 21, '3574107': 18, '3574435': 20, '4461724': 19, '446862': 18, '446107': 15, '446435': 17, '1111724': 17, '111862': 16, '111107': 13, '111435': 15, '2251724': 18, '225862': 17, '225107': 14, '225435': 16, '18151724': 21, '1815107': 17, '1815435': 19}"
7,"{'2584908': 21, '2584454': 20, '258456': 17, '258457': 17, '2584235': 19, '2584473': 20, '1292908': 20, '1292454': 19, '129256': 16, '129257': 16, '1292235': 18, '1292473': 19, '646908': 19, '646454': 18, '64656': 15, '64657': 15, '646235': 17, '646473': 18, '80908': 16, '80454': 15, '8056': 12, '8057': 12, '80235': 14, '80473': 15, '803799': 18, '40908': 15, '40454': 14, '4056': 11, '4057': 11, '40235': 13, '40473': 14, '403799': 17, '20908': 14, '20454': 13, '2056': 10, '2057': 10, '20235': 12, '20473': 13, '203799': 16, '21908': 14, '21454': 13, '2156': 10, '2157': 10, '21235': 12, '21473': 13, '213799': 16, '735908': 19, '735454': 18, '73556': 15, '73557': 15, '735235': 17, '735473': 18, '7353799': 21, '1473908': 20, '1473454': 19, '147356': 16, '147357': 16, '1473235': 18, '1473473': 19}"
8,"{'1198608': 20, '1198304': 19, '1198152': 18, '119876': 17, '119838': 16, '11984': 13, '11985': 13, '1198111': 17, '1198225': 18, '1198453': 19, '742434': 18, '74608': 16, '74304': 15, '74152': 14, '7476': 13, '7438': 12, '744': 9, '745': 9, '74111': 13, '74225': 14, '74453': 15, '743639': 18, '182434': 16, '18608': 14, '18304': 13, '18152': 12, '1876': 11, '1838': 10, '184': 7, '185': 7, '18111': 11, '18225': 12, '18453': 13, '183639': 16, '392434': 17, '39608': 15, '39304': 14, '39152': 13, '3976': 12, '3938': 11, '394': 8, '395': 8, '39111': 12, '39225': 13, '39453': 14, '393639': 17, '812434': 18, '81608': 16, '81304': 15, '81152': 14, '8176': 13, '8138': 12, '814': 9, '815': 9, '81111': 13, '81225': 14, '81453': 15, '813639': 18, '6632434': 21, '663608': 19, '663304': 18, '663152': 17, '66376': 16, '66338': 15, '6634': 12, '6635': 12, '663111': 16, '663225': 17, '663453': 18, '6633639': 21, '26592434': 23, '2659608': 21, '2659304': 20, '2659152': 19, '265976': 18, '265938': 17, '26594': 14, '26595': 14, '2659111': 18, '2659225': 19, '2659453': 20}"
9,"{'29861730': 22, '2986216': 19, '2986108': 18, '298654': 17, '298613': 15, '298629': 16, '2986123': 18, '2986249': 19, '29864021': 23, '7461730': 20, '746432': 18, '746216': 17, '746108': 16, '74654': 15, '74613': 13, '74629': 14, '746123': 16, '746249': 17, '7461003': 19, '7462009': 20, '1861730': 18, '186432': 16, '186216': 15, '186108': 14, '18654': 13, '18613': 11, '18629': 12, '186123': 14, '186249': 15, '1861003': 17, '1862009': 18, '1864021': 19, '3751730': 19, '375432': 17, '375216': 16, '375108': 15, '37554': 14, '37513': 12, '37529': 13, '375123': 15, '375249': 16, '3751003': 18, '3752009': 19, '15071730': 21, '1507432': 19, '1507216': 18, '1507108': 17, '150754': 16, '150713': 14, '150729': 15, '1507123': 17, '1507249': 18, '15071003': 20, '15072009': 21, '15074021': 22}"
