0,"{'385222': 16, '385247': 17, '382644': 16, '382622': 15, '45247': 14, '42644': 13, '42622': 12, '42647': 13, '55244': 14, '55222': 13, '55247': 14, '52644': 13, '52622': 12, '52647': 13}"
1,"{'45118': 12, '4514': 9}"
2,"{'422512': 14, '422555': 16, '4210750': 18, '4210712': 16, '109612': 14, '109655': 16, '104812': 13, '104855': 15, '102450': 14, '102412': 12, '102455': 14, '1024113': 15, '1025100': 15, '102550': 14, '102512': 12, '102555': 14, '1025113': 15, '10107100': 17, '1010750': 16, '1010712': 14, '119612': 14, '114850': 15, '114812': 13, '1124100': 15, '112450': 14, '112412': 12, '519612': 16, '514812': 15, '5124100': 17, '512450': 16, '512412': 14, '1059612': 17, '1054850': 18, '1054812': 16, '1052450': 17}"
3,"{'1010923': 15, '1010949': 16}"
4,"{'41790': 14, '41722': 12, '116622': 15, '11665': 13, '111690': 15, '111622': 13, '11165': 11, '111790': 15, '111722': 13, '11175': 11, '25665': 14, '25165': 12, '25175': 12, '107665': 16, '107165': 14, '107175': 14}"
5,{}
6,"{'122924': 16, '122464': 15, '12254': 12, '122134': 13}"
7,"{'92724': 16, '92364': 15, '92184': 14, '9244': 12, '9245': 12, '92115': 13, '92255': 14, '92535': 15}"
8,"{'1312546': 16, '131255': 13, '591255': 15, '1211255': 16}"
9,{}
10,"{'81048': 13, '81024': 12, '81012': 11, '8548': 12, '8524': 11, '8512': 10, '8513': 10, '48648': 15, '41048': 12, '41024': 11, '41012': 10, '41013': 10, '4548': 11, '4524': 10, '4512': 9, '4513': 9, '4529': 10, '4561': 11, '45125': 12, '58648': 15, '58624': 14, '58612': 13, '51024': 11, '51012': 10, '51013': 10, '5548': 11, '5524': 10, '5512': 9, '138612': 14, '138613': 14, '131048': 13, '131024': 12, '131012': 11, '131013': 11, '13548': 12, '13524': 11, '1198612': 17, '1191048': 16, '1191024': 15}"
11,"{'12210': 10, '1225': 9, '122111': 13, '12310': 10, '1235': 9, '123111': 13, '5225': 10, '5235': 10, '132210': 12, '13225': 11, '132310': 12, '13235': 11, '292210': 13, '29225': 12, '292310': 13}"
12,{}
13,"{'45120': 12, '4560': 11, '4530': 10}"
14,"{'910822': 15, '910823': 15, '910849': 16, '95422': 14, '95423': 14, '92722': 13, '875423': 17, '872722': 16}"
15,"{'103890': 16, '103822': 14, '53822': 13, '53811': 12, '53851': 14}"
16,"{'502720': 15, '505720': 16, '5011720': 17, '122720': 13, '125720': 14, '125710': 13, '1211720': 15, '1211710': 14, '132720': 13, '132710': 12, '135720': 14, '135710': 13, '1311710': 14, '592720': 15, '592710': 14, '595720': 16, '595710': 15, '5911710': 16}"
17,{}
18,{}
19,{}
20,{}
21,{}
22,"{'4102118': 16, '410259': 15, '412118': 13}"
23,{'45126': 12}
24,"{'883238': 18, '881638': 17, '88164': 14, '8884': 13, '8844': 12, '88423': 14, '88449': 15, '446438': 18, '44644': 15, '443238': 17, '44324': 14, '44164': 13, '4484': 12, '4444': 11, '44423': 13, '44449': 14, '22644': 14, '22324': 13, '22164': 12, '2284': 11, '2244': 10, '22423': 12, '22449': 13, '11644': 13, '116423': 15, '116449': 16, '11324': 12, '113223': 14, '113249': 15, '11164': 11, '111623': 13, '111649': 14, '1184': 10, '11823': 12, '11849': 13, '1144': 9, '11423': 11, '11449': 12, '111123': 12, '111149': 13, '516449': 18, '513249': 17, '511649': 16, '51823': 14, '51849': 15, '51423': 13, '51449': 14, '511123': 14, '511149': 15, '105449': 15, '1051123': 15, '1051149': 16}"
25,{'215450': 16}
26,"{'1086652': 19, '1081652': 17, '108852': 16, '108826': 15, '108452': 15, '108426': 14, '546652': 18, '541652': 16, '541626': 15, '54852': 15, '54826': 14, '54452': 14, '54426': 13, '54455': 14}"
27,"{'96945': 16, '96115': 13, '961035': 16, '48945': 15, '48115': 12, '481035': 15, '49945': 15, '49115': 12, '491035': 15}"
28,"{'84364': 15, '84184': 14, '8444': 12, '84411': 13, '8454': 12, '84511': 13, '84274': 14, '841154': 16, '42364': 14, '42184': 13, '4244': 11, '42411': 12, '42511': 12, '42274': 13, '421154': 15, '10364': 12, '10184': 11, '1044': 9, '10411': 10, '1054': 9, '10511': 10, '10274': 11, '102711': 12, '101154': 13, '5364': 11, '53611': 12, '5184': 10, '51811': 11, '544': 8, '5411': 9, '554': 8, '5511': 9, '5274': 10, '51154': 12, '2744': 10, '27411': 11, '2754': 10, '27511': 11, '27274': 12, '271154': 14, '5744': 11, '57411': 12, '5754': 11, '57274': 13, '571154': 15, '11744': 12, '117411': 13, '11754': 12, '117274': 14, '1171154': 16}"
29,"{'57650': 15, '57612': 13, '53850': 14, '53812': 12, '51950': 13, '51912': 11, '54150': 14, '54112': 12, '277612': 15, '277627': 16, '273812': 14, '273827': 15, '271912': 13, '274112': 14, '577657': 18, '573812': 15, '573827': 16, '571912': 14, '571927': 15, '574127': 16}"
30,"{'527612': 16, '523812': 15, '52912': 13, '537612': 16, '533812': 15, '53912': 13}"
31,"{'219855': 17, '212455': 15, '2112104': 15, '211252': 14, '211226': 13, '211255': 14}"
