0,"{'16432629': 21, '16440470': 22, '1644058': 19, '1644029': 18, '16440495': 22, '16420470': 21, '1642058': 18, '1642029': 17, '16420495': 21, '16421470': 21, '1642158': 18, '1642129': 17, '16421495': 21, '16445470': 22, '1644558': 19, '1644529': 18, '16445495': 22, '8232658': 21, '8232629': 20, '8240470': 21, '824058': 18, '824029': 17, '8240495': 21, '8220470': 20, '822058': 17, '822029': 16, '8220495': 20, '8221470': 20, '822158': 17, '822129': 16, '8221495': 20, '8245470': 21, '824558': 18, '824529': 17, '8245495': 21, '20326470': 22, '2032658': 19, '2032629': 18, '20326495': 22, '2040470': 19, '204058': 16, '204029': 15, '2040495': 19, '2020470': 18, '202058': 15, '202029': 14, '2020495': 18, '2021470': 18, '202158': 15, '202129': 14, '2021495': 18, '2045470': 19, '204558': 16, '204529': 15, '2045495': 19, '10326470': 21, '1032658': 18, '1032629': 17, '10326495': 21, '1040470': 18, '104058': 15, '104029': 14, '1040495': 18, '1020470': 17, '102058': 14, '102029': 13, '1020495': 17, '1021470': 17, '102158': 14, '102129': 13, '1021495': 17, '1045470': 18, '104558': 15, '104529': 14, '1045495': 18, '5326470': 20, '532658': 17, '532629': 16, '5326495': 20, '540470': 17, '54058': 14, '54029': 13, '540495': 17, '520470': 16, '52058': 13, '52029': 12, '520495': 16, '521470': 16, '52158': 13, '52129': 12, '521495': 16, '545470': 17, '54558': 14, '54529': 13, '545495': 17, '27326470': 22, '2732658': 19, '2732629': 18, '27326495': 22, '2740470': 19, '274058': 16, '274029': 15, '2740495': 19, '2720470': 18, '272058': 15, '272029': 14, '2720495': 18, '2721470': 18, '272158': 15, '272129': 14, '2721495': 18, '2745470': 19, '274558': 16, '274529': 15, '5732658': 20, '5732629': 19, '5740470': 20, '574058': 17, '574029': 16, '5740495': 20, '5720470': 19, '572058': 16, '572029': 15, '5720495': 19, '5721470': 19, '572158': 16, '572129': 15, '5721495': 19, '5745470': 20, '574558': 17, '574529': 16, '5745495': 20, '4714058': 20, '4714029': 19, '47120470': 22, '4712058': 19, '4712029': 18, '47120495': 22, '4712158': 19, '4712129': 18, '47145470': 23, '4714558': 20, '4714529': 19, '47145495': 23}"
1,"{'23447638': 22, '2344769': 20, '23447621': 21, '23447645': 22, '23423838': 21, '2342389': 19, '23423821': 20, '23423845': 21, '23459154': 21, '2345938': 19, '234599': 17, '2345921': 18, '2345945': 19, '23412138': 20, '2341219': 18, '23412121': 19, '23412145': 20, '47147638': 23, '4714769': 21, '47123838': 22, '4712389': 20, '47123821': 21, '47123845': 22, '47159154': 22, '4715938': 20, '471599': 18, '4715921': 19, '4715945': 20, '47159375': 23, '47112138': 21, '4711219': 19, '47112121': 20, '47112145': 21, '471121375': 24}"
2,"{'174258148': 24, '17425818': 21, '1742584': 19, '1742585': 19, '17425827': 21, '17425857': 22, '174258117': 23, '174258237': 24, '17464148': 22, '1746474': 21, '1746418': 19, '174644': 17, '174645': 17, '1746427': 19, '1746457': 20, '17464117': 21, '17464237': 22, '17432148': 21, '1743274': 20, '1743218': 18, '174324': 16, '174325': 16, '1743227': 18, '1743257': 19, '17432117': 20, '17432237': 21, '17416148': 20, '1741674': 19, '1741618': 17, '174164': 15, '174165': 15, '1741627': 17, '1741657': 18, '17416117': 19, '17416237': 20, '17416477': 21, '1748148': 19, '174874': 18, '174818': 16, '17484': 14, '17485': 14, '174827': 16, '174857': 17, '1748117': 18, '1748237': 19, '1748477': 20, '17439148': 21, '1743974': 20, '1743918': 18, '174394': 16, '174395': 16, '1743927': 18, '1743957': 19, '17439117': 20, '17439237': 21, '17439477': 22, '17481148': 22, '1748174': 21, '1748118': 19, '174814': 17, '174815': 17, '1748127': 19, '1748157': 20, '17481237': 22, '17481477': 23, '10258148': 20, '1025874': 19, '1025818': 17, '102584': 15, '102585': 15, '1025827': 17, '1025857': 18, '10258117': 19, '10258237': 20, '10258477': 21, '1064148': 18, '106474': 17, '106418': 15, '10644': 13, '10645': 13, '106427': 15, '106457': 16, '1064117': 17, '1064237': 18, '1064477': 19, '1032148': 17, '103274': 16, '103218': 14, '10324': 12, '10325': 12, '103227': 14, '103257': 15, '1032117': 16, '1032237': 17, '1032477': 18, '1016148': 16, '101674': 15, '101618': 13, '10164': 11, '10165': 11, '101627': 13, '101657': 14, '1016117': 15, '1016237': 16, '1016477': 17, '108148': 15, '10874': 14, '10818': 12, '1084': 10, '1085': 10, '10827': 12, '10857': 13, '108117': 14, '108237': 15, '108477': 16, '1039148': 17, '103974': 16, '103918': 14, '10394': 12, '10395': 12, '103927': 14, '103957': 15, '1039117': 16, '1039237': 17, '1039477': 18, '1081148': 18, '108174': 17, '108118': 15, '10814': 13, '10815': 13, '108127': 15, '108157': 16, '1081117': 17, '1081237': 18, '1081477': 19, '5258148': 19, '525874': 18, '525818': 16, '52584': 14, '52585': 14, '525827': 16, '525857': 17, '5258117': 18, '5258237': 19, '5258477': 20, '564148': 17, '56474': 16, '56418': 14, '5644': 12, '5645': 12, '56427': 14, '56457': 15, '564117': 16, '564237': 17, '564477': 18, '532148': 16, '53274': 15, '53218': 13, '5324': 11, '5325': 11, '53227': 13, '53257': 14, '532117': 15, '532237': 16, '532477': 17, '516148': 15, '51674': 14, '51618': 12, '5164': 10, '5165': 10, '51627': 12, '51657': 13, '516117': 14, '516237': 15, '516477': 16, '58148': 14, '5874': 13, '5818': 11, '584': 9, '585': 9, '5827': 11, '5857': 12, '58117': 13, '58237': 14, '58477': 15, '539148': 16, '53974': 15, '53918': 13, '5394': 11, '5395': 11, '53927': 13, '53957': 14, '539117': 15, '539237': 16, '539477': 17, '581148': 17, '58174': 16, '58118': 14, '5814': 12, '5815': 12, '58127': 14, '58157': 15, '581117': 16, '581237': 17, '581477': 18, '13258148': 20, '1325874': 19, '1325818': 17, '132584': 15, '132585': 15, '1325827': 17, '1325857': 18, '13258117': 19, '13258237': 20, '13258477': 21, '1364148': 18, '136474': 17, '136418': 15, '13644': 13, '13645': 13, '136427': 15, '136457': 16, '1364117': 17, '1364237': 18, '1364477': 19, '1332148': 17, '133274': 16, '133218': 14, '13324': 12, '13325': 12, '133227': 14, '133257': 15, '1332117': 16, '1332237': 17, '1332477': 18, '1316148': 16, '131674': 15, '131618': 13, '13164': 11, '13165': 11, '131627': 13, '131657': 14, '1316117': 15, '1316237': 16, '1316477': 17, '138148': 15, '13874': 14, '13818': 12, '1384': 10, '1385': 10, '13827': 12, '13857': 13, '138117': 14, '138237': 15, '138477': 16, '1339148': 17, '133974': 16, '133918': 14, '13394': 12, '13395': 12, '133927': 14, '133957': 15, '1339117': 16, '1339237': 17, '1339477': 18, '1381148': 18, '138174': 17, '138118': 15, '13814': 13, '13815': 13, '138127': 15, '138157': 16, '1381117': 17, '1381237': 18, '1381477': 19, '29258148': 21, '2925874': 20, '2925818': 18, '292584': 16, '292585': 16, '2925827': 18, '2925857': 19, '29258117': 20, '29258237': 21, '29258477': 22, '2964148': 19, '296474': 18, '296418': 16, '29644': 14, '29645': 14, '296427': 16, '296457': 17, '2964117': 18, '2964237': 19, '2964477': 20, '2932148': 18, '293274': 17, '293218': 15, '29324': 13, '29325': 13, '293227': 15, '293257': 16, '2932117': 17, '2932237': 18, '2932477': 19, '2916148': 17, '291674': 16, '291618': 14, '29164': 12, '29165': 12, '291627': 14, '291657': 15, '2916117': 16, '2916237': 17, '2916477': 18, '298148': 16, '29874': 15, '29818': 13, '2984': 11, '2985': 11, '29827': 13, '29857': 14, '298117': 15, '298237': 16, '298477': 17, '2939148': 18, '293974': 17, '293918': 15, '29394': 13, '29395': 13, '293927': 15, '293957': 16, '2939117': 17, '2939237': 18, '2939477': 19, '2981148': 19, '298174': 18, '298118': 16, '29814': 14, '29815': 14, '298127': 16, '298157': 17, '2981117': 18, '2981237': 19, '2981477': 20, '12325874': 22, '12325818': 20, '1232584': 18, '1232585': 18, '12325827': 20, '12325857': 21, '123258117': 22, '123258237': 23, '1236474': 20, '1236418': 18, '123644': 16, '123645': 16, '1236427': 18, '1236457': 19, '12364117': 20, '12364237': 21, '12364477': 22, '12332148': 20, '1233274': 19, '1233218': 17, '123324': 15, '123325': 15, '1233227': 17, '1233257': 18, '12332117': 19, '12332237': 20, '12332477': 21, '12316148': 19, '1231674': 18, '1231618': 16, '123164': 14, '123165': 14, '1231627': 16, '1231657': 17, '12316117': 18, '12316237': 19, '12316477': 20, '1238148': 18, '123874': 17, '123818': 15, '12384': 13, '12385': 13, '123827': 15, '123857': 16, '1238117': 17, '1238237': 18, '1238477': 19, '12339148': 20, '1233974': 19, '1233918': 17, '123394': 15, '123395': 15, '1233927': 17, '1233957': 18, '12339117': 19, '12339237': 20, '12339477': 21, '12381148': 21, '1238118': 18, '123814': 16, '123815': 16, '1238127': 18, '1238157': 19, '12381117': 20, '12381237': 21, '12381477': 22, '24925818': 21, '2492584': 19, '2492585': 19, '24925827': 21, '249258117': 23, '249258237': 24, '2496418': 19, '249644': 17, '249645': 17, '2496427': 19, '2496457': 20, '24964117': 21, '24932148': 21, '2493274': 20, '2493218': 18, '249324': 16, '249325': 16, '2493227': 18, '2493257': 19, '24932117': 20, '24932237': 21, '24932477': 22, '24916148': 20, '2491674': 19, '2491618': 17, '249164': 15, '249165': 15, '2491627': 17, '2491657': 18, '24916117': 19, '24916237': 20, '24916477': 21, '2498148': 19, '249874': 18, '249818': 16, '24984': 14, '24985': 14, '249827': 16, '249857': 17, '2498117': 18, '2498237': 19, '2498477': 20, '24939148': 21, '2493974': 20, '2493918': 18, '249394': 16, '249395': 16, '2493927': 18, '2493957': 19, '24939117': 20, '24939237': 21, '24939477': 22, '24981148': 22, '2498174': 21, '2498118': 19, '249814': 17, '249815': 17, '2498127': 19, '2498157': 20, '24981117': 21, '24981237': 22, '24981477': 23}"
3,"{'48210674': 22, '48210618': 20, '4821064': 18, '4821065': 18, '48210613': 19, '48210629': 20, '48226148': 21, '4822674': 20, '4822618': 18, '482264': 16, '482265': 16, '4822613': 17, '4822629': 18, '48226123': 20, '48226249': 21, '48213148': 20, '4821374': 19, '4821318': 17, '482134': 15, '482135': 15, '4821313': 16, '4821329': 17, '48213123': 19, '48213249': 20, '48229148': 21, '4822974': 20, '4822918': 18, '482294': 16, '482295': 16, '4822913': 17, '4822929': 18, '48229123': 20, '48224774': 23, '4822474': 19, '4822475': 19, '48224713': 20, '48224729': 21, '120106148': 21, '12010674': 20, '12010618': 18, '1201064': 16, '1201065': 16, '12010613': 17, '12010629': 18, '120106123': 20, '120106249': 21, '12026148': 19, '1202674': 18, '1202618': 16, '120264': 14, '120265': 14, '1202613': 15, '1202629': 16, '12026123': 18, '12026249': 19, '12013148': 18, '1201374': 17, '1201318': 15, '120134': 13, '120135': 13, '1201313': 14, '1201329': 15, '12013123': 17, '12013249': 18, '12029148': 19, '1202974': 18, '1202918': 16, '120294': 14, '120295': 14, '1202913': 15, '1202929': 16, '12029123': 18, '12029249': 19, '12024774': 21, '12024718': 19, '1202474': 17, '1202475': 17, '12024713': 18, '12024729': 19, '120247123': 21, '60106148': 20, '6010674': 19, '6010618': 17, '601064': 15, '601065': 15, '6010613': 16, '6010629': 17, '60106123': 19, '60106249': 20, '6026148': 18, '602674': 17, '602618': 15, '60264': 13, '60265': 13, '602613': 14, '602629': 15, '6026123': 17, '6026249': 18, '6013148': 17, '601374': 16, '601318': 14, '60134': 12, '60135': 12, '601313': 13, '601329': 14, '6013123': 16, '6013249': 17, '6029148': 18, '602974': 17, '602918': 15, '60294': 13, '60295': 13, '602913': 14, '602929': 15, '6029123': 17, '6029249': 18, '60247148': 21, '6024774': 20, '6024718': 18, '602474': 16, '602475': 16, '6024713': 17, '6024729': 18, '60247123': 20, '60247249': 21}"
4,"{'1548894': 21, '154885': 17, '1548827': 19, '15444188': 21, '1544494': 20, '154445': 16, '1544427': 18, '15444115': 20, '15422188': 20, '1542294': 19, '154225': 15, '1542227': 17, '15422115': 19, '1545188': 18, '154594': 17, '15455': 13, '154527': 15, '1545115': 17, '15413188': 19, '1541394': 18, '154135': 14, '1541327': 16, '15413115': 18, '15429188': 20, '1542994': 19, '154295': 15, '1542927': 17, '15429115': 19, '15461188': 21, '1546194': 20, '154615': 16, '1546127': 18, '15461115': 20, '154125188': 22, '15412594': 21, '1541255': 17, '15412527': 19, '3888188': 20, '388894': 19, '38885': 15, '388827': 17, '3888115': 19, '3844188': 19, '384494': 18, '38445': 14, '384427': 16, '3844115': 18, '3822188': 18, '382294': 17, '38225': 13, '382227': 15, '3822115': 17, '385188': 16, '38594': 15, '3855': 11, '38527': 13, '385115': 15, '3813188': 17, '381394': 16, '38135': 12, '381327': 14, '3813115': 16, '3829188': 18, '382994': 17, '38295': 13, '382927': 15, '3829115': 17, '3861188': 19, '386194': 18, '38615': 14, '386127': 16, '3861115': 18, '38125188': 20, '3812594': 19, '381255': 15, '3812527': 17, '38125115': 19, '988188': 18, '98894': 17, '9885': 13, '98827': 15, '988115': 17, '944188': 17, '94494': 16, '9445': 12, '94427': 14, '944115': 16, '922188': 16, '92294': 15, '9225': 11, '92227': 13, '922115': 15, '95188': 14, '9594': 13, '955': 9, '9527': 11, '95115': 13, '913188': 15, '91394': 14, '9135': 10, '91327': 12, '913115': 14, '929188': 16, '92994': 15, '9295': 11, '92927': 13, '929115': 15, '961188': 17, '96194': 16, '9615': 12, '96127': 14, '961115': 16, '9125188': 18, '912594': 17, '91255': 13, '912527': 15, '9125115': 17, '2188188': 19, '218894': 18, '21885': 14, '218827': 16, '2188115': 18, '2144188': 18, '214494': 17, '21445': 13, '214427': 15, '2144115': 17, '2122188': 17, '212294': 16, '21225': 12, '212227': 14, '2122115': 16, '215188': 15, '21594': 14, '2155': 10, '21527': 12, '215115': 14, '2113188': 16, '211394': 15, '21135': 11, '211327': 13, '2113115': 15, '2129188': 17, '212994': 16, '21295': 12, '212927': 14, '2129115': 16, '2161188': 18, '216194': 17, '21615': 13, '216127': 15, '2161115': 17, '21125188': 19, '2112594': 18, '211255': 14, '2112527': 16, '21125115': 18, '4588188': 20, '458894': 19, '45885': 15, '458827': 17, '4588115': 19, '4544188': 19, '454494': 18, '45445': 14, '454427': 16, '4544115': 18, '4522188': 18, '452294': 17, '45225': 13, '452227': 15, '4522115': 17, '455188': 16, '45594': 15, '4555': 11, '45527': 13, '455115': 15, '4513188': 17, '451394': 16, '45135': 12, '451327': 14, '4513115': 16, '4529188': 18, '452994': 17, '45295': 13, '452927': 15, '4529115': 17, '4561188': 19, '456194': 18, '45615': 14, '456127': 16, '4561115': 18, '45125188': 20, '4512594': 19, '451255': 15, '4512527': 17, '45125115': 19, '18788188': 22, '1878894': 21, '187885': 17, '1878827': 19, '18788115': 21, '18744188': 21, '1874494': 20, '187445': 16, '1874427': 18, '18744115': 20, '18722188': 20, '1872294': 19, '187225': 15, '1872227': 17, '18722115': 19, '1875188': 18, '187594': 17, '18755': 13, '187527': 15, '1875115': 17, '18713188': 19, '1871394': 18, '187135': 14, '1871327': 16, '18713115': 18, '18729188': 20, '1872994': 19, '187295': 15, '1872927': 17, '18729115': 19, '18761188': 21, '1876194': 20, '187615': 16, '1876127': 18, '18761115': 20, '187125188': 22, '18712594': 21, '1871255': 17, '18712527': 19, '187125115': 21}"
5,"{'15058410': 22, '15058102': 20, '1505851': 19, '15058105': 20, '15058213': 21, '1505951': 19, '15059105': 20, '15059213': 21, '150487410': 25, '150487102': 23, '15048751': 22, '150487105': 23, '150487213': 24, '7558410': 21, '7558102': 19, '755851': 18, '7558105': 19, '7558213': 20, '7559410': 21, '7559102': 19, '755951': 18, '7559105': 19, '7559213': 20, '7548751': 21, '75487105': 22, '75487213': 23}"
6,{}
7,"{'468396123': 24, '46824488': 22, '46824122': 20, '46824123': 20, '46824499': 22, '46812488': 21, '46812244': 20, '46812122': 19, '46812123': 19, '46812499': 21, '46827488': 22, '46827244': 21, '46827122': 20, '46827123': 20, '468115488': 24, '468115499': 24, '468233488': 25, '468233122': 23, '234198488': 24, '234198122': 22, '23424488': 21, '23424244': 20, '23424122': 19, '23424123': 19, '23424499': 21, '23412488': 20, '23412244': 19, '23412122': 18, '23412123': 18, '23412499': 20, '23427488': 21, '23427244': 20, '23427122': 19, '23427123': 19, '23427499': 21, '234115488': 23, '234115122': 21, '234115123': 21, '234233123': 22}"
8,"{'148436142': 24, '1484368': 20, '1484364': 19, '14843695': 23, '148218284': 24, '1482188': 19, '1482184': 18, '148218193': 23, '14854142': 21, '148548': 17, '148544': 16, '1485495': 20, '14854193': 21, '14855142': 21, '148558': 17, '148554': 16, '1485595': 20, '148113142': 22, '1481138': 18, '1481134': 17, '148459142': 24, '1484598': 20, '1484594': 19, '74436284': 24, '74436142': 23, '744368': 19, '744364': 18, '742188': 18, '742184': 17, '7421895': 21, '7454284': 21, '7454142': 20, '74548': 16, '74544': 15, '745495': 19, '7454193': 20, '7455284': 21, '7455142': 20, '74558': 16, '74554': 15, '745595': 19, '7455193': 20, '74113284': 22, '74113142': 21, '741138': 17, '741134': 16, '7411395': 20, '744598': 19, '744594': 18, '74459193': 23, '18436284': 22, '18436142': 21, '184368': 17, '184364': 16, '18218284': 21, '18218142': 20, '182188': 16, '182184': 15, '1821895': 19, '18218193': 20, '1854284': 19, '1854142': 18, '18548': 14, '18544': 13, '185495': 17, '1854193': 18, '1855284': 19, '1855142': 18, '18558': 14, '18554': 13, '185595': 17, '1855193': 18, '18113284': 20, '18113142': 19, '181138': 15, '181134': 14, '1811395': 18, '18113193': 19, '18459284': 22, '18459142': 21, '184598': 17, '184594': 16, '1845995': 20, '18459193': 21, '9436284': 21, '9436142': 20, '94368': 16, '94364': 15, '943695': 19, '9436193': 20, '9218284': 20, '9218142': 19, '92188': 15, '92184': 14, '921895': 18, '9218193': 19, '954284': 18, '954142': 17, '9548': 13, '9544': 12, '95495': 16, '954193': 17, '955284': 18, '955142': 17, '9558': 13, '9554': 12, '95595': 16, '955193': 17, '9113284': 19, '9113142': 18, '91138': 14, '91134': 13, '911395': 17, '9113193': 18, '9459284': 21, '9459142': 20, '94598': 16, '94594': 15, '945995': 19, '9459193': 20, '21436284': 22, '21436142': 21, '214368': 17, '214364': 16, '2143695': 20, '21436193': 21, '21218284': 21, '21218142': 20, '212188': 16, '212184': 15, '2121895': 19, '21218193': 20, '2154284': 19, '2154142': 18, '21548': 14, '21544': 13, '215495': 17, '2154193': 18, '2155284': 19, '2155142': 18, '21558': 14, '21554': 13, '215595': 17, '2155193': 18, '21113284': 20, '21113142': 19, '211138': 15, '211134': 14, '2111395': 18, '21113193': 19, '21459142': 21, '214598': 17, '214594': 16, '2145995': 20, '21459193': 21, '45436142': 22, '454368': 18, '454364': 17, '4543695': 21, '45436193': 22, '45218284': 22, '45218142': 21, '452188': 17, '452184': 16, '4521895': 20, '45218193': 21, '4554284': 20, '4554142': 19, '45548': 15, '45544': 14, '455495': 18, '4554193': 19, '4555284': 20, '4555142': 19, '45558': 15, '45554': 14, '455595': 18, '4555193': 19, '45113284': 21, '45113142': 20, '451138': 16, '451134': 15, '4511395': 19, '45113193': 20, '454598': 18, '454594': 17, '4545995': 21, '45459193': 22, '93436142': 23, '934368': 19, '934364': 18, '93436193': 23, '93218142': 22, '932188': 18, '932184': 17, '9321895': 21, '93218193': 22, '9354284': 21, '9354142': 20, '93548': 16, '93544': 15, '935495': 19, '9354193': 20, '9355284': 21, '9355142': 20, '93558': 16, '93554': 15, '935595': 19, '9355193': 20, '93113284': 22, '93113142': 21, '931138': 17, '931134': 16, '9311395': 20, '93113193': 21, '93459284': 24, '934598': 19, '934594': 18, '9345995': 22}"
9,"{'15012253': 19, '15013253': 19, '15029253': 20, '15061253': 21, '150125253': 22, '150507253': 24, '1812253': 16, '1813253': 16, '1829253': 17, '1861253': 18, '18125253': 19, '18507253': 21, '412253': 14, '413253': 14, '429253': 15, '461253': 16, '4125253': 17, '4507253': 19, '1112253': 15, '1113253': 15, '1129253': 16, '1161253': 17, '11125253': 18, '11507253': 20, '2512253': 16, '2513253': 16, '2529253': 17, '2561253': 18, '25125253': 19, '25507253': 21, '10712253': 18, '10713253': 18, '10729253': 19, '10761253': 20, '107507253': 23, '21712253': 19, '21713253': 19, '21729253': 20, '21761253': 21}"
